122 62 22
1.39804e-76 0 0 0
1.39804e-76 1 0 0
1.39804e-76 2 0 0
1.39804e-76 3 0 0
1.39804e-76 4 0 0
1.39804e-76 5 0 0
1.39804e-76 6 0 0
1.39804e-76 7 0 0
1.39804e-76 8 0 0
1.39804e-76 9 0 0
1.39804e-76 10 0 0
1.39804e-76 11 0 0
1.39804e-76 12 0 0
1.39804e-76 13 0 0
1.39804e-76 14 0 0
1.39804e-76 15 0 0
1.39804e-76 16 0 0
1.39804e-76 17 0 0
1.39804e-76 18 0 0
1.39804e-76 19 0 0
1.39804e-76 20 0 0
1.39804e-76 21 0 0
1.39804e-76 22 0 0
1.39804e-76 23 0 0
1.39804e-76 24 0 0
1.39804e-76 25 0 0
1.39804e-76 26 0 0
1.39804e-76 27 0 0
1.39804e-76 28 0 0
1.39804e-76 29 0 0
1.39804e-76 30 0 0
1.39804e-76 31 0 0
1.39804e-76 32 0 0
1.39804e-76 33 0 0
1.39804e-76 34 0 0
1.39804e-76 35 0 0
1.39804e-76 36 0 0
1.39804e-76 37 0 0
1.39804e-76 38 0 0
1.39804e-76 39 0 0
1.39804e-76 40 0 0
1.39804e-76 41 0 0
1.39804e-76 42 0 0
1.39804e-76 43 0 0
1.39804e-76 44 0 0
1.39804e-76 45 0 0
1.39804e-76 46 0 0
1.39804e-76 47 0 0
1.39804e-76 48 0 0
1.39804e-76 49 0 0
1.39804e-76 50 0 0
1.39804e-76 51 0 0
1.39804e-76 52 0 0
1.39804e-76 53 0 0
1.39804e-76 54 0 0
1.39804e-76 55 0 0
1.39804e-76 56 0 0
1.39804e-76 57 0 0
1.39804e-76 58 0 0
1.39804e-76 59 0 0
1.39804e-76 60 0 0
1.39804e-76 61 0 0
1.39804e-76 62 0 0
1.39804e-76 63 0 0
1.39804e-76 64 0 0
1.39804e-76 65 0 0
1.39804e-76 66 0 0
1.39804e-76 67 0 0
1.39804e-76 68 0 0
1.39804e-76 69 0 0
1.39804e-76 70 0 0
